brand,currency,price,colors,name,sizes,categories
new balance,usd,39.99,black,new balance m579 men  round toe synthetic  running shoe,11,"all men's shoes,shoes,men's shoes,clothing"
new balance,usd,95,beige,new balance m579 men  round toe synthetic  running shoe,11,"all men's shoes,shoes,men's shoes,clothing"
new balance,usd,37.99,brown,new balance m579 men  round toe synthetic  running shoe,11,"all men's shoes,shoes,men's shoes,clothing"
new balance,usd,61.99,green,new balance m579 men  round toe synthetic  running shoe,11,"all men's shoes,shoes,men's shoes,clothing"
fruit of the loom,usd,9.49,black,fruit of the loom men's 12-pairs crew socks,12,"all men's clothing,men's clothing,men's socks,clothing, shoes & jewelry,men's socks & underwear,clothing"
creative recreation,usd,22.99,blacks,creative recreation turino mens black leather sneakers shoes 10,10,"clothing, shoes & accessories,men's shoes,casual"
reebok,usd,79.98,green,reebok men's nano 5.0 crossfit training sneakers from finish line,9,"men,shoes,finish line athletic shoes"
dc,usd,37.97,tan,dc course mens tan textile lace up sneakers shoes,4,"men's casual shoes,shoes,men's shoes,clothing"
dc,usd,65,tan,dc course mens tan textile lace up sneakers shoes,11,"men's casual shoes,shoes,men's shoes,clothing"
nike,usd,115,pink,nike sb eric koston 2 max men  round toe synthetic pink skate shoe,"10.5,8.5,10,7,6,9.5,6.5,9,11.5,8,11,12","all men's shoes,shoes,men's shoes,clothing"
nike,usd,91.99,pink,nike sb eric koston 2 max men  round toe synthetic pink skate shoe,"10.5,8.5,10,7,6,9.5,6.5,9,11.5,8,11,12","all men's shoes,shoes,men's shoes,clothing"
nike,usd,79.99,pink,nike sb eric koston 2 max men  round toe synthetic pink skate shoe,"10.5,8.5,10,7,6,9.5,6.5,9,11.5,8,11,12","all men's shoes,shoes,men's shoes,clothing"
vans,usd,65,black,vans mens era 59 leopard sneakers,3,"clothing,shoes,men's shoes,all men's shoes"
vans,usd,36.99,beige,vans mens era 59 leopard sneakers,9,"clothing,shoes,men's shoes,all men's shoes"
